year;temperature (°C)
1981;-1
1982;20.02
1983;20.14
1984;20.08
1985;19.91
1986;20
1987;20.24
1988;20.14
1989;20.14
1990;20.14
1991;20.15
1992;20.03
1993;20.1
1994;20.21
1995;20.24
1996;20.15
1997;20.33
1998;20.4
1999;2013
2000;20.21
2001;20.33
2002;20.27
2203;20.43
2004;20.37
2005;20.53
2006;20.48
2007;20.32
2008;20.38
2009;220
2010;20.44
2011;20.37
2012;20.49
2013;20.52
2014;20.65
2015;20.73
2016;20.67
2017;0
2018;-1
2019;-1
2020;20.8
2021;20.7
2022;20.74
2023;21.09
1982-2011 mean;20.24
plus 2σ;20.56
minus 2σ;19.92
