Urliste DATENSATZ 3,,
,,
key,year,temperature (°C)
1,1981,-1
2,1982,20.02
3,1983,20.14
4,1984,20.08
5,1985,19.91
6,1986,20
7,1987,20.24
8,1988,20.14
9,1989,20.14
10,1990,20.14
11,1991,20.15
12,1992,20.03
13,1993,20.1
14,1994,20.21
15,1995,20.24
16,1996,20.15
17,1997,20.33
18,1998,20.4
19,1999,2013
20,2000,20.21
21,2001,20.33
22,2002,20.27
23,2003,20.43
24,2004,20.37
25,2005,20.53
26,2006,20.48
27,2007,20.32
28,2008,20.38
29,2009,220
30,2010,20.44
31,2011,20.37
32,2012,20.49
33,2013,20.52
34,2014,20.65
35,2015,20.73
36,2016,20.67
37,2017,0
38,2018,-1
39,2019,-1
40,2020,20.8
41,2021,20.7
42,2022,20.74
43,2023,21.09
