Rang,Reaktionszeit in ms
1,131
2,169
3,181
4,181
5,182
6,184
7,186
8,186
9,186
10,187
11,187
12,187
13,188
14,189
15,189
16,190
17,190
18,190
19,191
20,192
21,192
22,192
23,192
24,193
25,193
26,194
27,194
28,194
29,195
30,195
31,195
32,195
33,195
34,197
35,198
36,198
37,198
38,198
39,198
40,200
41,201
42,201
43,201
44,202
45,202
46,202
47,202
48,203
49,203
50,203
51,203
52,204
53,204
54,204
55,204
56,206
57,207
58,208
59,208
60,208
61,210
62,210
63,210
64,211
65,211
66,212
67,214
68,214
69,214
70,215
71,215
72,218
73,219
74,220
75,220
76,220
77,222
78,223
79,224
80,224
81,229
82,230
83,230
84,231
85,231
86,232
87,232
88,233
89,234
90,235
91,235
92,236
93,236
94,239
95,239
96,241
97,250
98,259
99,261
100,264
101,270
102,271
103,272
104,279
105,348
106,379
107,424
108,510
