Stichprobe,Reaktionszeit in ms
1,211
2,220
3,259
4,218
5,234
6,198
7,231
8,193
9,210
10,206
11,207
12,187
13,231
14,279
15,308
16,204
17,187
18,204
19,Too soon
20,215
21,186
22,187
23,222
24,189
25,202
26,195
27,210
28,272
29,208
30,219
31,Too soon
32,1867
33,131
34,186
35,192
36,192
37,Too soon
38,1116
39,220
40,Too soon
41,190
42,223
43,208
44,Too soon
45,235
46,261
47,Too soon
48,241
49,211
50,229
51,214
52,195
53,198
54,210
55,Too soon
56,194
57,270
58,197
59,191
60,203
61,215
62,200
63,214
64,1322
65,198
66,181
67,189
68,224
69,203
70,424
71,203
72,224
73,193
74,195
75,203
76,232
77,233
78,214
79,202
80,212
81,204
82,192
83,188
84,271
85,201
86,198
87,230
88,235
89,201
90,220
91,202
92,510
93,239
94,236
95,181
96,192
97,239
98,195
99,186
100,264
101,202
102,348
103,379
104,236
105,201
106,190
107,Too soon
108,198
109,204
110,232
111,184
112,169
113,250
114,208
115,194
116,182
117,195
118,230
119,194
120,190
